comment_id,video_id,text,label
UgzKG65oEcOJmZKnjVV4AaABAg,tJ1s5iRZt_k,Really બકવાસ film.  😢,negative
UgxD0y4xhDL98WXcTet4AaABAg,tJ1s5iRZt_k,*Mane lage story writer director tamne bnav se Gujarati industry vala 😅*,negative
UgxzsNwYJSIEL7lZB5d4AaABAg,3rpgtimwMDk,Tara jeva loko j aadivasi samaj ne આગળ આવવા નથી દેતા...,negative
UgyDXNFW7mlr5nK9Nud4AaABAg,3rpgtimwMDk,Bolva Pella vicharvanu bhoda,negative
UgyD3yz8i8bCHIQe2yl4AaABAg,3rpgtimwMDk,Tare gujarat ma na reve joye,negative
UgwloWI5YkRTq0P32VV4AaABAg,3rpgtimwMDk,Pella bolva vichari lejo,negative
UgyPKVTFr_3WKdgvfPJ4AaABAg,3rpgtimwMDk,Best movie che🙏🙏🙏,positive
UgxuuyOmKtwzmc2Lect4AaABAg,3rpgtimwMDk,रियल्टी ऑफ आदिवासी संस्कृति,not_gujlish
UgxLXALBtb0BmKYHMId4AaABAg,3rpgtimwMDk,सर बहुत अच्छी मूवी है पूरे सभी गुजराती लोगों को यह मूवी देखनी चाहिए गुजरात में भी बहुत अलग अलग कलचर है सभी को समझने के लिए यह मूवी बहुत अच्छी बनी है,not_gujlish
UgzRiUvUwz1eXHvCrTR4AaABAg,3rpgtimwMDk,❤❤❤❤,not_gujlish
UgwIkGy-fY3T9zLa5MJ4AaABAg,3rpgtimwMDk,Super duper ❤❤❤ ફિલ્મ છે કડકાનાથ,positive
Ugx_Rt_afPj6BhFhr3F4AaABAg,3rpgtimwMDk,Jova javu javun પડે,positive
UgxyWca7EkQGUEWuo0h4AaABAg,3rpgtimwMDk,🏹🏹🥷🗡️👿😈,not_gujlish
UgyhbZD2IzVzYKIUA3F4AaABAg,3rpgtimwMDk,Mast movie 6,positive
UgzKl8HuW6O1r-kD2bp4AaABAg,3rpgtimwMDk,Adivashi hoy te jove baki bijo su jane,negative
UgxMBcIijSC5pdAqJNJ4AaABAg,3rpgtimwMDk,hu Kav chu badha J jajo ek namber Movi che Jara pan kantado nay Aave,positive
UgzV1xNxSIyfskC4fE94AaABAg,3rpgtimwMDk,Bhai tu Paisa Nathi Aapi deto Amari marji Ame jay ke Na Jaay A,negative
UgzkA65aW8r_p6a1vMF4AaABAg,3rpgtimwMDk,Superb music and songs 🔥🔥,positive
UgwztEJRWCLxAdP0JD54AaABAg,3rpgtimwMDk,"Superb direction, superb acting, superb unique story❤🔥👏🏻",positive
Ugxeg7mUVoLK-V0ofmB4AaABAg,3rpgtimwMDk,Kadaknath jevi movie Gujarat ma kyre bni j nhi and bnse pn nhi... Full suspence thriller 🔥 unique,positive
UgxE-IvW1oGTIUhDWrF4AaABAg,3rpgtimwMDk,Tu comedy jo doffaa,negative
Ugy6UnRg9m2w3wP9TNl4AaABAg,3rpgtimwMDk,Unique movie che,neutral
UgyuyWrph1ji7GHmQ414AaABAg,3rpgtimwMDk,Aapne to joy iva bhai full maja se maja aavi gey movie joyne,positive
UgxFTxoYC9wTzOLGDDd4AaABAg,3rpgtimwMDk,Supar movie. 🎉,positive
UgzRTcwTv1d9jp-gm2Z4AaABAg,3rpgtimwMDk,Wow nice movie review 😊😊,positive
UgzJD88e4C8Usw-HI3B4AaABAg,3rpgtimwMDk,🔥🔥🔥,not_gujlish
UgxFE39OmvUJn0yygjB4AaABAg,3rpgtimwMDk,Gujarat best movie ever❤❤ please support,positive
UgzLgbJS1rEIrsBtLX94AaABAg,3rpgtimwMDk,Adivasi,negative
UgwNrQsxO86BHd3sgjR4AaABAg,3rpgtimwMDk,Unique movie from gujarati industry,neutral
UgyuNRmK1S6LGGtpCJ94AaABAg,3rpgtimwMDk,Nice movie,positive
Ugw0etLmVGAUuowM1-p4AaABAg,3rpgtimwMDk,Really its wonderful direction by Kaushik Garasiya,positive
UgzmO0rBHFlKZn3fiTV4AaABAg,3rpgtimwMDk,Pan aakho sanskruti vise movie che ee bav mahtvvnu yaar ❤❤,positive
Ugx3jQSU-4kjYxdtbA94AaABAg,3rpgtimwMDk,❤🏹,neutral
UgwGX4QumN7tpi-odoB4AaABAg,RT_KlpWDXgo,"Bakwaas movie,..taddan faltu..",negative
Ugzk-gP2X3-_VNOTGiJ4AaABAg,RT_KlpWDXgo,Ok!! Nice video.,positive
UgwxxQahU3SuYHJdsMx4AaABAg,RT_KlpWDXgo,mane film khoob gami. tame aavun kevi rite kahi shako cho te mane samjatu nathi. aa to kathor tika chhe.,neutral
Ugx2G-cVaoAIXZmfrr14AaABAg,RT_KlpWDXgo,O Bhai tame loko thodo divash rahjvo public game ke nai ae jovdo maftiya o tamre video banvo koy kharch lagto tobi tumhare views mate koi ni cr investment hoi che ane bov sokha hoy cinema jai public review lo ane Film su jano cho,negative
Ugy2eW1Vy8UKYAI-zdR4AaABAg,RT_KlpWDXgo,Hitu ne hiten ne jova hata hitu kanojiya ne padda ma Jova hata hve javu k y vicharavu padshe,neutral
Ugxis4lfP_RYEKqfbax4AaABAg,RT_KlpWDXgo,Oh have jovu k ny,neutral
UgwrbCAbQSvenuSLRxF4AaABAg,RT_KlpWDXgo,Trailer j boring hatu 😊,negative
Ugw0ehU5kbbLffuNGRJ4AaABAg,RT_KlpWDXgo,Hathodo hato mane 5 combiflam Moklavi dejo,neutral
UgxXXwf_-BjHHrzo-4F4AaABAg,dcaoUO_Uqow,Wah,not_gujlish
UgyklLuZo6RJb9ZqUh94AaABAg,dcaoUO_Uqow,2 Mahina Thi Videos kem Nathi aavta .?,not_gujlish
UgwB9iAAxs2O1FUydGZ4AaABAg,dcaoUO_Uqow,ધરપકડ review????,not_gujlish
UgzuLEgDQn1oZqH0md14AaABAg,dcaoUO_Uqow,Sajid bhai nirmata,neutral
UgxCv6MpduVcpysHTtl4AaABAg,dcaoUO_Uqow,Muslim ne bhar kado boycott kro pl,not_gujlish
UgzWlOSHd3rAz1FykGZ4AaABAg,dcaoUO_Uqow,"Bakwas  jain dharm ne  somnath mandir ne badnam km kryu chhe muslim ne why?
Sajid to muslim chhe teno film why jovani ekdam bakvas",not_gujlish
UgzicRYN5XZcOpuJCjh4AaABAg,dcaoUO_Uqow,"Promotion ના વખતે શું controversy હતી ?? 

આ islamism ને એ બધું તો release પછી થયું ને ?

🤔",negative
Ugw-4EAQPclCgw3bKH94AaABAg,dcaoUO_Uqow,Very good review,negative
UgwKK8nmxHfxRypvhCB4AaABAg,dcaoUO_Uqow,Bakvas movie che koi paisa bagadtu nahi,negative
UgwoZWWxTPHw8n1N0lx4AaABAg,dcaoUO_Uqow,JORDAR MOVIE CHHE.. HU JOI NE AVYO.. SAHEB. SHU MSG CHHE MOVIE MA.. .. JARUR PARENTS SATHE JOVAY (4.5/5 STAR),not_gujlish
UgyNA_nJGboOi10JsO54AaABAg,dcaoUO_Uqow,Mara ticket na Paisa bachi gaya,positive
UgxrzYVCY7XY_P8O4gp4AaABAg,dcaoUO_Uqow,Abhaar🙏,not_gujlish
UgxTbXKQg7cyPE0Bj2t4AaABAg,dcaoUO_Uqow,🎉 Gujarat Divas❤,negative
Ugzcpu_CKWLIs53SrAZ4AaABAg,dcaoUO_Uqow,So true. Bhangar movie. Abhishekbhai nu movie hoy avu lagtu j nathi. Logic less movie.,negative
Ugycz-YN5BwYCLSWQ2h4AaABAg,dcaoUO_Uqow,"Bhai mane to film gami..  Message  saru hatu. Direction ma     
Haju mehnat ni jarur hati. But i like this movie",neutral
Ugw3hdBCJHbm01_zxKl4AaABAg,dcaoUO_Uqow,Bhai tamey comment aapvanu chodi do ... Badhu 2.15 hrs ma naa dekhadi sakai...so pls don't use logic...thanks,neutral
UgxoI5DqWVXfH87n3QN4AaABAg,dcaoUO_Uqow,"Try to make anthor Lalo movie. Lalo is replaced by kanoo.
In Lalo krishna was travller as Lalo
In Dhakaro kano become  drive
R
Rixa is replaced by Uber car",neutral
UgwtD_2sy-vql88_qFN4AaABAg,dcaoUO_Uqow,No need if Islam and Badhisum propoganda was required in movei.,negative
UgxlgSVn0SoVYzGrm9B4AaABAg,dcaoUO_Uqow,welcome back in Gujarti movie review - karta rahejo have regular bhai,neutral
Ugy9-NDBJyyHkEXAIBh4AaABAg,dcaoUO_Uqow,bandal bekar 😵😵😵,negative
UgzJHd1aeohyExCdRhV4AaABAg,dcaoUO_Uqow,I am big fan of Hellaro movie then mane koi Abhishekhhai ni movie e leval ni nai lagi,neutral
UgxOQ_1s84Wu98oRgE54AaABAg,dcaoUO_Uqow,"Your reviews matters , thank you so much for your clearcut review",positive
UgyfFNsmh2Y0oe-ut3V4AaABAg,dcaoUO_Uqow,Trailor Joine J Mane Lagyu hatu Ke It's a disappointing film,negative
Ugx8xkXaqhunNMiOHcV4AaABAg,dcaoUO_Uqow,Bahu Divas Pachhi Review Avyo. Why?? Kyan farava ગયા હતા??,neutral
UgwKw-xlqRtAXLo5Zv14AaABAg,dcaoUO_Uqow,Secularism no tadko lagava ma aavyo che aa movie ma. Hindu chokri dalit na prem ma pade che. Evu kem nathi batadta ke Muslim stree Hindu na prem ma pade??????,negative
Ugya3xhLYA8gWJKL5uN4AaABAg,dcaoUO_Uqow,bov saro review sir,positive
Ugy8l1HwteLsPMYZegl4AaABAg,dcaoUO_Uqow,Thanks for review..,positive
UgxNlJyPL5JQSLZ86al4AaABAg,dcaoUO_Uqow,Star to apva j joie ..it's my opinion,neutral
Ugw3zn7FC2j2lOHtSRx4AaABAg,dcaoUO_Uqow,બોગસ story..નામ બડે દર્શન khote 😊,not_gujlish
UgxqDDB6ffNCCTVKYul4AaABAg,dcaoUO_Uqow,👍,not_gujlish
UgydIFupcudVREUoBTF4AaABAg,dcaoUO_Uqow,Without star there is nothing,neutral
UgxH2Yz_6hacSkqrMKl4AaABAg,tRlCSf3OFnY,"waah sir honest review tamaro.. good!!

Dhabkaro kevi movie che sir? worth our time?",neutral
UgyMBR7Xpj0eeeyzwox4AaABAg,tRlCSf3OFnY,Atlu lambu shu khancho cho sidhu review hoye atlo  badho time nathi koi pase Jene thanks kahevu hoye ene personal msg karvano hoye,negative
UgzgkzstYPZKhtF7xEd4AaABAg,tRlCSf3OFnY,Vikram sir na review karo ne sir,neutral
UgygIA8ewhxFTXgw9hJ4AaABAg,tRlCSf3OFnY,sorry to say very mediocre the way of give review. didnt got any idea what you want to say about the film.,negative
UgxOozB84W0A8ijbSA54AaABAg,tRlCSf3OFnY,Blockbuster of this year,positive
Ugzd-jAKEJ_lZwDbYwZ4AaABAg,tRlCSf3OFnY,Aamane dharpakad nu bi climax barabar natu lagayu. Jyare movie sari hati. Pakku aa film pan sari j hase....,neutral
UgyncNH-qruP8u4iHkF4AaABAg,DPd12U0uXFk,MANE TO PYAR TO HONA HI THA MOVIE JOTO HOY TEVU LAGUE .. MARA MAT PRAMANE,neutral
UgyxKPbPtZogpBLJCzp4AaABAg,DPd12U0uXFk,Review Parthi Aevu Lage Che  Ke Naa Joie To Chalse...Skip Kari Deva Jevi Che...Online Toh Kyare Aavshe Nahi Ae Confrom Che...Bcz Coconut Motion Che...,neutral
UgyPlo0d4MD8NxoxV0J4AaABAg,DPd12U0uXFk,👍👍👍👍👍 bekar film 😢😢,negative
UgxJEXuzP139ytCRgg54AaABAg,DPd12U0uXFk,Ma to 2 var joi maza aavai....,positive
UgwrpTkfMv0dchRnpGl4AaABAg,DPd12U0uXFk,Behad movie no review karo,neutral
UgzPVk5WPLNGRemOS4t4AaABAg,DPd12U0uXFk,Tako km karavi lidho 😮,neutral
UgxjeR_fo4YWcCreV454AaABAg,DPd12U0uXFk,Pratik Gandhi no cameo che?,neutral
UgzWD_Hl21c90elqIkZ4AaABAg,DPd12U0uXFk,👍 👍,not_gujlish
UgyCZiUAglYS_UL1Xhh4AaABAg,DPd12U0uXFk,Movie online joi le theatre ma,neutral
Ugw-p0EM1iyBIaReYoN4AaABAg,DPd12U0uXFk,Finally bhai avi gyu ❤,neutral
UgwSlOEd7IyOKYf1jmB4AaABAg,GYgvLXJqrkc,Last Sunday movie joi. Bauj saras che. Bollywood movie jova karta aavi Gujrati movies jovi saari.,positive
UgzyFmtf6-EjpZcyXfF4AaABAg,GYgvLXJqrkc,"Ek dum fire 🔥 🔥 🔥 movie banavi che , tamari Review joine j movie jovani priffer kru chu 👍🏼

Get set go box-office report aapjo hope k super Hit jaai and 2nd part aave",positive
UgykWYZltSq55jn1vqt4AaABAg,GYgvLXJqrkc,Thank you 🙏🏼,positive
Ugx7eIpGtbVAe_WbMxV4AaABAg,GYgvLXJqrkc,Panipuri nu song aavyu che and teaser pan enuj review karjo ne sir,neutral
UgyyR_LOzjtAH21fXYt4AaABAg,GYgvLXJqrkc,As usual saachi and Sachot mahiti aapto Review,positive
Ugw1vbaHDhdi4Fs3wwB4AaABAg,GYgvLXJqrkc,Bauj mast review apyo tame. Ane khas karine 200-500 vadhu apvana pan artist saro lavano e zordar hatu😂😂,positive
Ugy45voot7Hi0owfZIV4AaABAg,GYgvLXJqrkc,Jo Hindi ane English films ma joyu j hoy to Gujarati film ma a j shu kam jovu joiye??,neutral
UgxIjS6yco6lYLXu1Vt4AaABAg,GYgvLXJqrkc,Sir action ma alok thaker jevu koi star nathi,positive
Ugy3jvi9PKmdUQdykop4AaABAg,GYgvLXJqrkc,ekadi filam tu banav sunil pachi tu reviw kar ketlu booking colection ane ketlu chle e khabar pade,negative
UgzIeKjbBn9PXfcDZ7N4AaABAg,GYgvLXJqrkc,Sir tame gujarati film na collection kyathi jovo chho? Source??,neutral
UgyCDbghBdcRo2HFl1B4AaABAg,GYgvLXJqrkc,Perfectttt review,positive
UgyPPDWckmjKdrUnpoF4AaABAg,GYgvLXJqrkc,Bilkul jaishu thaknk for review,positive
UgwdGiHNUP8kt287W_p4AaABAg,GYgvLXJqrkc,Shu inspire kare e level par earning thay to vadhu aava movie jova mde,neutral
Ugx8IhnyJvUTaKoVpI14AaABAg,GYgvLXJqrkc,👍👍👍👍👍,not_gujlish
UgwUXjYpSSg3ZLxe0k94AaABAg,ztcEP_kyivY,🎉🎉🎉🎉🎉🎉🎉😅😂😢😊😢,not_gujlish
UgzZu3VmjILPZLbzcpF4AaABAg,ztcEP_kyivY,Jovi che but katuch ma kya lagi j nthi kem jovi,neutral
UgyhlFP20dE7jsb9qnB4AaABAg,ztcEP_kyivY,Box office collection shu kahe chhe....aapde to ena upar kahi shakay ne ke film sari chhe ke kharab,negative
Ugx7A1C7wW3HBdo9WJF4AaABAg,ztcEP_kyivY,❤❤,not_gujlish
UgxCBJ2Vn3CGdaisdxx4AaABAg,ztcEP_kyivY,Very.nice,positive
UgwdzPFn0Iy3F3bo7KR4AaABAg,ztcEP_kyivY,Sir aa film mobile ma kya malse,neutral
UgwneDkrje-olCIRz-N4AaABAg,ztcEP_kyivY,Jovi che,neutral
Ugx7fIcUvt6_QsVkOvl4AaABAg,ztcEP_kyivY,It’s not released in mumbai😢,neutral
UgwHwtxOnDkH5yZRtTh4AaABAg,ztcEP_kyivY,Ama અજય દેવગણ ni entry thashe remak ma,not_gujlish
UgycKG2SYAQoYX45XOh4AaABAg,ztcEP_kyivY,Jay bhil adivasi bhaio❤,neutral
Ugw39RMU8NylIT7WbVV4AaABAg,ztcEP_kyivY,Jordan...gujarati first film..🎉🎉🎉,positive
Ugzr9-gfP4QNXbrLVm94AaABAg,ztcEP_kyivY,Ek number film chhe joi lidhi..,positive
UgzsbgABwtcaqdyBkwJ4AaABAg,ztcEP_kyivY,Super muvi se ❤❤❤❤❤❤❤❤❤,positive
UgzZtMitliXMaWJwAXB4AaABAg,ztcEP_kyivY,Ha marari aadivasi movie se,neutral
Ugx59kdqaVbRs2m7NE94AaABAg,ztcEP_kyivY,"Ha bhai background music and song badhu aadivasi ma 
And music pan hoy real ma",neutral
UgyDScMciNiroF6U3Kd4AaABAg,ztcEP_kyivY,Pahelu je character che. Adivasi mack up karyo che. Like ek kadknath murgi tipe.. Enu shu che?. Like e character movie ne aagal vadhare che ke pachi vadhara nu rakhyu che?.,neutral
Ugwpdvqk6-Ut6PbgXQV4AaABAg,ztcEP_kyivY,Nice 🎉🎉,positive
UgwKEcG78zTa6GsS1MZ4AaABAg,ztcEP_kyivY,I Proud to be Aadivasi,positive
UgxClFb3iBfG13-36RN4AaABAg,ztcEP_kyivY,Stat of ramadhni move review ❤,neutral
UgxIiQqJO0mZ3Cj4MdZ4AaABAg,ztcEP_kyivY,Must watch movie,positive
Ugy3bi4hreE17FyOvGl4AaABAg,ztcEP_kyivY,Kai web site ma joi mane msg karo,neutral
UgzG6llxkz7kogAWqN94AaABAg,ztcEP_kyivY,"Background music and song badhu aadivasi culture no part se

Thank you for your review",neutral
UgwL9P-Qc8x8zMGlRLl4AaABAg,ztcEP_kyivY,"Mara badha mitro ne laine jova jaishu 
Tamara review nij raj jototo hu",positive
UgzCdzwwSU-c30Fo04R4AaABAg,ztcEP_kyivY,❤,not_gujlish
Ugx6lhAB6MaCnC_QR7p4AaABAg,ztcEP_kyivY,Jordar.,positive
UgzGbHEXpH3uQnx5Jyp4AaABAg,m4HrBoSaj84,Agreed. Film tolerable noti. Cinenatography and script weak hatu. Cricket scene ekdum silly hatu. Khub disconnect hatu in characters. Maney interval maaj nikdi javanu mann thayu. Pan betho ryo kemke siddharth randheria che. Toh asha hati ki kaik saru hasey . Pan nirasha maidi.,negative
UgzHs9sQQgGqoEpPsSx4AaABAg,m4HrBoSaj84,"Film gani sari che.
Tamara review wrong che.",negative
UgwpA6NfgNNu5FyK4pR4AaABAg,m4HrBoSaj84,"Galat review hai film bahot acchi hai very smooth action performance,comedy engaging message all working good reviews dekh ke movie ko judge mat karna bhai",negative
UgxqsyJZCbbYfRZ34Y94AaABAg,m4HrBoSaj84,Amit & vipul Banne khota review ape se sir plz emne samjavjo yaar,neutral
UgyycDDUw0Jzeqauiht4AaABAg,m4HrBoSaj84,Thankyou mara 200 bachavva badal❤,positive
UgxrSBzA71e1YseSMyt4AaABAg,NbiLZ5-JTJU,Total Flop Film Che,negative
Ugyd3fAxP7YaZlVachJ4AaABAg,NbiLZ5-JTJU,lage chhe tmne jinal belani pr crush chhe 🤣🤣,neutral
Ugy9Qkb0B2d8oL9V1hR4AaABAg,NbiLZ5-JTJU,"Filmyindia ni copy  na karo..
શરમ 😂",neutral
UgzwxyIBU5r3uHybmnF4AaABAg,NbiLZ5-JTJU,Sir underdog superstar alok thaker jevu action koi na kari sake e real fighter che real ma emnu johnnyengineer napaas rockyinrisk2 and rockyinrisk jaljeera bauj mast action karyu che and e bauj garibi ma thi agad avya che Ave panipuri pan aave che sir emnu big fan panipuri song par video banavo ne and alok thaker upar pan sir,neutral
UgwLfNleGKOS16a9KGF4AaABAg,NbiLZ5-JTJU,Gujarati Dhoom,neutral
UgyjEkxk-Muul99eEVF4AaABAg,NbiLZ5-JTJU,Hi vipul kumar,neutral
UgwhB2FGLsuo8Tr03c94AaABAg,NbiLZ5-JTJU,Thank you 🙏🏼,neutral
