comment_id,video_id,text,like_count,published_at
UgzKG65oEcOJmZKnjVV4AaABAg,tJ1s5iRZt_k,Really બકવાસ film.  😢,1,2026-08-01T14:26:30Z
Ugxl7k90V9Yyrdbaz8h4AaABAg,tJ1s5iRZt_k,"ભઈ એક વખત તુ બનાવ મૂવી એટલે ખબર પડે
બધાની ખામી કાઢેછે તુ તારી ખામી કાઢ",1,2026-07-31T14:13:15Z
UgxD0y4xhDL98WXcTet4AaABAg,tJ1s5iRZt_k,*Mane lage story writer director tamne bnav se Gujarati industry vala 😅*,2,2026-07-31T13:46:40Z
UgxzsNwYJSIEL7lZB5d4AaABAg,3rpgtimwMDk,Tara jeva loko j aadivasi samaj ne આગળ આવવા નથી દેતા...,0,2026-08-03T04:35:58Z
UgyDXNFW7mlr5nK9Nud4AaABAg,3rpgtimwMDk,Bolva Pella vicharvanu bhoda,0,2026-07-17T06:16:56Z
UgyD3yz8i8bCHIQe2yl4AaABAg,3rpgtimwMDk,Tare gujarat ma na reve joye,0,2026-07-17T06:15:51Z
UgwloWI5YkRTq0P32VV4AaABAg,3rpgtimwMDk,Pella bolva vichari lejo,0,2026-07-17T06:10:32Z
UgxSdwWw96Ui9GTWd0x4AaABAg,3rpgtimwMDk,દાહોદ મા થીએટર નથી પણ દાહોદ ના યુવાનો આદિવાસી સંસ્કૃતિ અને રીતિ રિવાજ ને એક મોટા પડદા પર દર્શવી એનું મને ગર્વ છે 🙏,0,2026-07-14T09:51:55Z
UgzAjbrPXOJIZyUGtul4AaABAg,3rpgtimwMDk,દાહોદ આદિવાસી વિસ્તારમાં.માં બનાવેલી આ પીચર છે દેખવા આવજો ..ની તેર અમે ..બધા અમદાવાદ ..કામે આવાનું બંધ કર દેહુ,0,2026-07-12T06:35:59Z
UgyPKVTFr_3WKdgvfPJ4AaABAg,3rpgtimwMDk,Best movie che🙏🙏🙏,0,2026-07-12T03:14:32Z
UgxuuyOmKtwzmc2Lect4AaABAg,3rpgtimwMDk,रियल्टी ऑफ आदिवासी संस्कृति,0,2026-07-08T15:24:13Z
UgxJs2SltG8_IexRtK94AaABAg,3rpgtimwMDk,10 વાર જોવાના તું પણ જોઈ આવ્યો છે એટલે શાંતિ રાખ ઓકે,0,2026-07-08T12:41:10Z
UgwqOo6ulAQBARC0LT14AaABAg,3rpgtimwMDk,દાહોદના સુસહબારીલીશકરૈ,1,2026-07-08T10:11:13Z
UgwXTNOXzYS0WSIL5wp4AaABAg,3rpgtimwMDk,આવી થમ્બનેલ મૂકીને કોઈને મિસ ગાઇડ ન કરો,0,2026-07-06T04:39:34Z
UgxLXALBtb0BmKYHMId4AaABAg,3rpgtimwMDk,सर बहुत अच्छी मूवी है पूरे सभी गुजराती लोगों को यह मूवी देखनी चाहिए गुजरात में भी बहुत अलग अलग कलचर है सभी को समझने के लिए यह मूवी बहुत अच्छी बनी है,0,2026-07-06T01:12:58Z
UgwXGp7PAXkorH0L7k54AaABAg,3rpgtimwMDk,જય આદિવાસી 🏹🏹,0,2026-07-05T16:30:27Z
Ugwd_5sAoscRx0NwPYl4AaABAg,3rpgtimwMDk,જય જોહાર 🏹,0,2026-07-05T16:30:11Z
UgzRiUvUwz1eXHvCrTR4AaABAg,3rpgtimwMDk,❤❤❤❤,0,2026-07-05T16:29:53Z
UgwIkGy-fY3T9zLa5MJ4AaABAg,3rpgtimwMDk,Super duper ❤❤❤ ફિલ્મ છે કડકાનાથ,1,2026-07-05T16:29:48Z
Ugx_Rt_afPj6BhFhr3F4AaABAg,3rpgtimwMDk,Jova javu javun પડે,0,2026-07-05T07:34:30Z
UgxyWca7EkQGUEWuo0h4AaABAg,3rpgtimwMDk,🏹🏹🥷🗡️👿😈,0,2026-07-04T16:56:32Z
UgzAljHN-rtxFcaP2-p4AaABAg,3rpgtimwMDk,હું પણ જરૂર જોવા જવાનો ...👍👍,0,2026-07-04T16:35:13Z
UgxmvzPbTumqKL7Ya8x4AaABAg,3rpgtimwMDk,આપણે સંસ્કૃતિને ઉજાગર કરતી મુવી છે આમાં સંસ્કૃતિની ઝલક દેખાય છે એ જ બહુ છે. આવી મુવી જોવી જ જોઈએ.,5,2026-07-03T13:49:05Z
UgyhbZD2IzVzYKIUA3F4AaABAg,3rpgtimwMDk,Mast movie 6,0,2026-07-03T09:52:39Z
UgzKl8HuW6O1r-kD2bp4AaABAg,3rpgtimwMDk,Adivashi hoy te jove baki bijo su jane,0,2026-07-03T06:04:28Z
UgxMBcIijSC5pdAqJNJ4AaABAg,3rpgtimwMDk,hu Kav chu badha J jajo ek namber Movi che Jara pan kantado nay Aave,0,2026-07-02T17:56:31Z
UgzV1xNxSIyfskC4fE94AaABAg,3rpgtimwMDk,Bhai tu Paisa Nathi Aapi deto Amari marji Ame jay ke Na Jaay A,0,2026-07-02T17:55:53Z
UgyOf2OB_4NopciK2y54AaABAg,3rpgtimwMDk,આદિવાસી પરંપરા મા Movie બનાવેલી છે,0,2026-07-02T15:51:04Z
UgzkA65aW8r_p6a1vMF4AaABAg,3rpgtimwMDk,Superb music and songs 🔥🔥,0,2026-07-02T08:29:25Z
UgwztEJRWCLxAdP0JD54AaABAg,3rpgtimwMDk,"Superb direction, superb acting, superb unique story❤🔥👏🏻",2,2026-07-02T08:27:31Z
Ugxeg7mUVoLK-V0ofmB4AaABAg,3rpgtimwMDk,Kadaknath jevi movie Gujarat ma kyre bni j nhi and bnse pn nhi... Full suspence thriller 🔥 unique,1,2026-07-02T03:31:11Z
UgxE-IvW1oGTIUhDWrF4AaABAg,3rpgtimwMDk,Tu comedy jo doffaa,0,2026-07-01T17:49:55Z
UgxH-Ekx_HQqjmwwK7p4AaABAg,3rpgtimwMDk,અમારા આદિવાસી ઓ પર બનાવેલી અમારી સંસ્કૃતિ ની મૂવી છે જોવા તો જવુજ પડે ભાઈ ❤,12,2026-07-01T16:57:03Z
Ugy6UnRg9m2w3wP9TNl4AaABAg,3rpgtimwMDk,Unique movie che,0,2026-06-30T19:42:57Z
UgwRc2HZh9DBD7ac79x4AaABAg,3rpgtimwMDk,આ મૂવી માં એન્ડ માં કઈ છે જ ni,0,2026-06-30T15:38:07Z
UgyuyWrph1ji7GHmQ414AaABAg,3rpgtimwMDk,Aapne to joy iva bhai full maja se maja aavi gey movie joyne,0,2026-06-30T10:20:44Z
UgxFTxoYC9wTzOLGDDd4AaABAg,3rpgtimwMDk,Supar movie. 🎉,0,2026-06-30T04:48:32Z
UgzRTcwTv1d9jp-gm2Z4AaABAg,3rpgtimwMDk,Wow nice movie review 😊😊,2,2026-06-29T18:01:28Z
Ugwl9pJm55BbGWCBnRN4AaABAg,3rpgtimwMDk,"આદિવાસી ની જૂની પરંપરા ને રિપ્રેજેન્ટ કરતી મૂવી સે .જે જૂની આદિવાસી ની પરંપરા ,રીત રિવાજ દિવસે ને દિવસે ગાયબ થતી જાય સે અને આ ફિલ્મ આદિવાસી ને રિપ્રેજેંટ કરતી film se",7,2026-06-29T17:36:40Z
UgxQH8SDWdzQoMbgzIJ4AaABAg,3rpgtimwMDk,દાહોદ ના આદિવાસી યુવાન કૌશિક ગરાસિયા ભાઈ એ ફિલ્મ ડિરેક્ટર કરી છે એટલે જોવું ના પડે... એક નંબર મૂવી..જય જોહર..,29,2026-06-29T17:13:35Z
UgzJD88e4C8Usw-HI3B4AaABAg,3rpgtimwMDk,🔥🔥🔥,0,2026-06-29T14:15:57Z
UgxFE39OmvUJn0yygjB4AaABAg,3rpgtimwMDk,Gujarat best movie ever❤❤ please support,0,2026-06-29T14:02:08Z
UgzLgbJS1rEIrsBtLX94AaABAg,3rpgtimwMDk,Adivasi,1,2026-06-29T12:32:27Z
UgwNrQsxO86BHd3sgjR4AaABAg,3rpgtimwMDk,Unique movie from gujarati industry,8,2026-06-29T08:25:05Z
UgyuNRmK1S6LGGtpCJ94AaABAg,3rpgtimwMDk,Nice movie,6,2026-06-29T07:56:58Z
Ugw0etLmVGAUuowM1-p4AaABAg,3rpgtimwMDk,Really its wonderful direction by Kaushik Garasiya,13,2026-06-29T07:54:31Z
UgzmO0rBHFlKZn3fiTV4AaABAg,3rpgtimwMDk,Pan aakho sanskruti vise movie che ee bav mahtvvnu yaar ❤❤,6,2026-06-29T06:43:36Z
UgyC0sKKxic9HKWcLhV4AaABAg,3rpgtimwMDk,કેમ ભાઇ ઘરે લાગે છે હવે રેલો આવશે ગોત્યા નરેશ જઙો,5,2026-06-29T05:04:47Z
Ugx3jQSU-4kjYxdtbA94AaABAg,3rpgtimwMDk,❤🏹,3,2026-06-29T02:45:22Z
UgwGX4QumN7tpi-odoB4AaABAg,RT_KlpWDXgo,"Bakwaas movie,..taddan faltu..",2,2026-07-31T13:29:43Z
Ugzk-gP2X3-_VNOTGiJ4AaABAg,RT_KlpWDXgo,Ok!! Nice video.,2,2026-07-28T06:13:21Z
UgwxxQahU3SuYHJdsMx4AaABAg,RT_KlpWDXgo,mane film khoob gami. tame aavun kevi rite kahi shako cho te mane samjatu nathi. aa to kathor tika chhe.,3,2026-07-26T17:59:12Z
