video_id,title,channel,query_used
tJ1s5iRZt_k,હિપ હિપ હુરે રિવ્યૂ | hip hip hurray review | smit pandya | cinema show gujarati.,Cinema Show,gujarati movie review
3rpgtimwMDk,Kadaknath | કડકનાથ | Kadaknath Gujrati Movie | Movie Review ,Filmi Gujarati Mitesh,gujarati movie review
RT_KlpWDXgo,લાયક નાલાયક રિવ્યૂ | layak nalayak review | gujarati movie review | cinema show.,Cinema Show,gujarati movie review
dcaoUO_Uqow,Gujarati Movie Dhabkaaro Review l નવી ગુજરાતી મુવી ધબકારો રિવ્યુ,SiddTalks,gujarati movie review
tRlCSf3OFnY,Kabanda Gujarati Movie Review | Tarjani Bhadla | Rehan Chodhry #Gujaratimoviereview ,Garvthi Gujarati Vipul ના Review,gujarati movie review
DPd12U0uXFk,આ વખતે 🫩 Lagan Lagi Re Gujarati Movie REVIEW l Lagan Lagi re review #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
GYgvLXJqrkc,ઉપડો..!! Get Set Go Gujarati Movie Review l #gujaratimoviereview Get Set Go Film Review ,Cine માહૌલ ,gujarati movie review
ztcEP_kyivY,એકદમ કડક 🔥 Kadaknath Gujarati Movie Review l #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
m4HrBoSaj84,New Gujarati Movie Zindagi Once More Review l નવી ગુજરાતી ફિલ્મ જિંદગી વન્સ મોરનો રિવ્યુ,SiddTalks,gujarati movie review
NbiLZ5-JTJU,Get Set Go Gujarati Movie Review | Deepak Tijori | Ronak Kamdar #gujaratimovienew,Garvthi Gujarati Vipul ના Review,gujarati movie review
l1eEmzCMxU4,Jindagi Once More Review | Siddharth Randeria | #gujaratimoviereview #garvthigujarativipul,Garvthi Gujarati Vipul ના Review,gujarati movie review
YiUCjL21zHA,Jindagi Once More - OFFICIAL TRAILER | Siddharth Randeria | Deep Dholakia | In Cinemas 19th June,Dharma Productions,gujarati movie review
dqW9M64ueUQ,Maaran અને Hip Hip Hurrey Gujarati Movie Review | Abhishek Jain #gujaratimoviereview,Garvthi Gujarati Vipul ના Review,gujarati movie review
rYgP8WsFrAk,Dhabkaaro movie review in Gujarati । ધબકારો ।  Deven bhojani,I-Movies Series,gujarati movie review
QzAdQlBBosE,કેવું કેવું બને છે એલાવ..Shaatir Gujarati Movie Review l Shatir Movie REVIEW #gujaratimovie2026,Cine માહૌલ ,gujarati movie review
_1amtHQegCA,જિંદગી વન્સ મોર રિવ્યૂ | jindgi once more review | cinema show gujarati.,Cinema Show,gujarati movie review
FCrw1xK3Ue8,National Award Winner &#39;મારણ&#39; કેવી છે? | No Spoiler Review (Gujarati),SiddTalks,gujarati movie review
EysKGg_ydDI,કૃષ્ણદેવ યાજ્ઞિક નો કેમિયો !! Chaniya Toli Gujarati Movie REVIEW #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
udwW5O5CMBI,"કડકનાથ રિવ્યુ | Kadaknath Gujarati Movie Review | Abhinay Banker, Denisha Ghumra#gujaratimoviereview",Garvthi Gujarati Vipul ના Review,gujarati movie review
OOZQBFf2UK4,RANGA Gujarati Movie Review: આટલી અઘરી ફિલ્મ પચાવવી અઘરી છે! 😰,SiddTalks,gujarati movie review
jxKJf_nVkmU,Nankhatai Gujarati Movie Review | નાનખટાઈ મૂવી રીવ્યુ | RAJ NA REVIEW,Raj Na Review,gujarati movie review
BMxpWLTDJMw,ગંભીર મુદ્દો પણ..Behadd Gujarati Movie Review l Behad Review #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
PgB-guws_hE,બેહદ રિવ્યૂ | behadd review | gujarati film | cinema show gujarati.,Cinema Show,gujarati movie review
KLVOemDHWSg,આઇસક્રીમ તો ખુશ્બુ નો જ..😂 Zindagi Once More Gujarati Movie Review l #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
1DT1cvEo3N0,અઘરું પડશે..? Rangaa Gujarati Movie Advance Booking l #gujaratimoviereview ,Cine માહૌલ ,gujarati movie review
vDXkdal4UmQ,Kajodu (કજોડું) - Official Trailer | Mitra Gadhvi | Esha Kansara | Streaming 14th May on ShemarooMe,Shemaroo Gujarati Manoranjan,gujarati web series review
k8EaDjz2emQ,ઈનકોગ્નિટો - Episode 1 - GujjuGate - A Gujarati Web Series,GujjuGate Productions,gujarati web series review
gpQRu9h7cp8,"Takraar Thi Pyaar No Safar | Unknown to Known Full Gujarati Web Series | Ojas Rawal, Vyoma Nandi",Shemaroo Gujarati Manoranjan,gujarati web series review
OkZg9HKfFN4,Bas Cha Sudhi |  Season 2 | Episode 01 | Mulakat | Gujarati Web Series,Aastha Productions,gujarati web series review
6hnai-oVWXw,Do નોટ Disturb S2 I Gujarati Web Series | All Episodes | Malhar Thakar I Manasi Parekh,Mirchi Gujarati,gujarati web series review
p-h5UyKyg88,Karo Welcome|| EP01 Photo Prem|| Gujarati Web Series 2026 || કરો વેલકમ - ફોટો પ્રેમ,Ashaval Entertainment,gujarati web series review
6T3HV97W-Ek,"Trauma, Thriller &amp; Twists! | Kajodu Gujarati Web Series Review",Denish The Cinephile,gujarati web series review
SWyDA2Sfroc,"Unknown to Known FULL GUJARATI WEB SERIES | Ojas Rawal, Vyoma Nandi @shemaroogujaratimanoranjan1",Shemaroo Gujarati Manoranjan,gujarati web series review
ZVjqWLlrV7k,Bas Cha Sudhi Season - 3 | EPISODE 01 | KUDRAT | Gujarati Web Series,Aastha Productions,gujarati web series review
sxhhlxKiYwY,Chandlo Review | Chandlo Movie Review | Chandlo Public Reaction | Gujarati Web Series Episodes Jio |,All in One by Digvijay Bonawate,gujarati web series review
qzNOsJr7u3w,Top 10 Gujarati Web Series,Gujarat Update,gujarati web series review
wZfOk9Tbdnc,Warso FIRST FREE EPISODE - Gujarati Web Series | Gaurav Paswala | Prashant Barot | Kalpana Gagdekar,Shemaroo Gujarati Manoranjan,gujarati web series review
xB5cRbibYAU,Vitthal Teedi - Gujarat Web Series| વિઠ્ઠલતીડી નવી ગુજરાતી 2021 વેબસીરિઝ |Review | Niravmandir,NIRAV MANDIR,gujarati web series review
Z9PqVjgvSx8,Story Table - Episode 1 - Gujarati Web Series,GujjuGate Productions,gujarati web series review
Es4DrKCXvgs,"BOBO Episode 1 | Gujarati Web Series | Vaishakh, Tatsat, Rajan, Minaxi, Riddhi, Ravi | Krishnadev",Big Box Series,gujarati web series review
wlKN23VDVJ0,🔥 Kajodu Trailer માં એવું શું છે કે લોકો Crazy થઈ ગયા? | Gujarati Review,I-Movies Series,gujarati web series review
u9spCk1kRaQ,Do નોટ Disturb Season 1 | Gujarati Web Series | All Episodes | Malhar Thakar | Manasi Parekh,Mirchi Gujarati,gujarati web series review
jSa_UIxlikk,Ghaat web series review l Ghaat official trailer l Ghaat @cinemanofficialfilms all episodes review,Cine માહૌલ ,gujarati web series review
GknPCwdlyYg,Live-in Couple Ni Life Ma Best Friend No Hungamo 😂 | Chokdi Mindu | New Gujarati  Web Series,Shemaroo Gujarati Manoranjan,gujarati web series review
pX9LXET_ejM,Poori Paani - Episode 01 | Gujarati Web Series | Jhinal Belani | Bhaumik Sampat | Boman Irani,Shemaroo Gujarati,gujarati web series review
Us6NmXKKNXA,Kajodu Webseries Review | કજોડું | ગુજરાતી વેબસિરીઝ ,Cinema ni Vaato,gujarati web series review
JDOD8JqO-48,કજોડું સિરીઝ રિવ્યૂ | Kajodu serise review | Cinema show review.,Cinema Show,gujarati web series review
n527w8qD4WE,Twist નો ઢગલો😱 Kajodu Web Series Review l @shemaroo #gujaratimoviereview ,Cine માહૌલ ,gujarati web series review
m-IGAu_wUkI,Love Vs Friendship | Best Friends | Friendship Day Special | New Gujarati Romantic Web Series 2026,Shemaroo Gujarati Manoranjan,gujarati web series review
aTz8iAomPJU,મારણ રિવ્યૂ | maaran review | gujarati film maaran review | cinema show gujarati.,Cinema Show,gujarati film review
8hopyTlcnis,ગેટ સેટ ગો રિવ્યૂ | get set go review | gujarati film | cinema show gujarati.,Cinema Show,gujarati film review
ZHCutupwuWk,Top 10 Best Movies of Gujarati Cinema #shorts #movies,Entertainment Core,gujarati film review
u0w18NjmPWQ,"Shubhchintak | Movie Review | Swapnil J, Manasi P, Viraf P, Deep V, | New Gujarati Film",Soul Sutra ,gujarati film review
X23iedoR2_k,મારણ રિવ્યૂ | maaran review | gujarati film maaran review | cinema show #maran #viral #horror #movie,ReelRoamReviews,gujarati film review
F6SwTen2weo,Bhalle Padharya | New Gujarati Movies 2025 | ગુજરાતી ફિલ્મ | Super Hit Latest Urban Gujarati Film,Ultra Gujarati,gujarati film review
WpjIvgiILrg,Views On Gujarati Film Industry,BHARTI TV,gujarati film review
